Feature,Importance,Rank,Std_Dev
z19,0.05,1,0.0
z18,0.05,2,0.0
z17,0.05,3,0.0
z16,0.05,4,0.0
z15,0.05,5,0.0
z14,0.05,6,0.0
z13,0.05,7,0.0
z12,0.05,8,0.0
z11,0.05,9,0.0
z10,0.05,10,0.0
z9,0.05,11,0.0
z8,0.05,12,0.0
z7,0.05,13,0.0
z6,0.05,14,0.0
z5,0.05,15,0.0
z4,0.05,16,0.0
z3,0.05,17,0.0
z2,0.05,18,0.0
z1,0.05,19,0.0
z0,0.05,20,0.0
