Latent_Feature,Importance
0,3.7227920291534086e-06
1,3.705227231380983e-06
7,3.475196530102658e-06
5,-1.6625158611325047e-05
6,-1.951000043300007e-05
3,-2.2549523787101068e-05
4,-2.753097106588749e-05
2,-0.00015849220082227004
